Time,LSTM_Pred,Time in state
2/18/2026 18:20,CYCLESTART,00:02.0
2/18/2026 18:20,INCYCLE,00:05.0
2/18/2026 18:20,CYCLESTART,00:02.0
2/18/2026 18:20,INCYCLE,00:01.0
2/18/2026 18:20,CYCLESTART,08:38.6
2/18/2026 18:29,INCYCLE,03:25.6
2/18/2026 18:32,CYCLESTART,00:27.0
2/18/2026 18:33,IDLE,01:05.5
2/18/2026 18:34,CYCLESTART,00:07.0
2/18/2026 18:34,IDLE,00:03.0
2/18/2026 18:34,CYCLESTART,00:14.0
2/18/2026 18:34,IDLE,00:01.0
2/18/2026 18:34,CYCLESTART,00:37.0
2/18/2026 18:35,IDLE,03:56.7
2/18/2026 18:39,INCYCLE,06:59.1
2/18/2026 18:46,IDLE,00:04.0
2/18/2026 18:46,INCYCLE,00:02.0
2/18/2026 18:46,IDLE,00:01.0
2/18/2026 18:46,INCYCLE,00:40.5
2/18/2026 18:47,IDLE,00:01.0
2/18/2026 18:47,INCYCLE,00:02.0
2/18/2026 18:47,IDLE,00:49.0
2/18/2026 18:47,INCYCLE,00:04.0
2/18/2026 18:48,IDLE,00:02.0
2/18/2026 18:48,INCYCLE,00:01.0
2/18/2026 18:48,IDLE,00:05.0
2/18/2026 18:48,INCYCLE,00:05.0
2/18/2026 18:48,IDLE,00:03.0
2/18/2026 18:48,INCYCLE,00:03.0
2/18/2026 18:48,IDLE,00:12.0
2/18/2026 18:48,INCYCLE,00:01.0
2/18/2026 18:48,IDLE,00:44.0
2/18/2026 18:49,CYCLESTART,00:12.0
2/18/2026 18:49,IDLE,00:06.0
2/18/2026 18:49,CYCLESTART,00:07.2
2/18/2026 18:49,IDLE,00:02.3
2/18/2026 18:49,CYCLESTART,00:03.0
2/18/2026 18:49,IDLE,00:02.0
2/18/2026 18:49,CYCLESTART,00:03.0
2/18/2026 18:49,IDLE,00:19.0
2/18/2026 18:50,INCYCLE,00:09.0
2/18/2026 18:50,CYCLESTART,01:05.0
2/18/2026 18:51,IDLE,00:05.0
2/18/2026 18:51,CYCLESTART,00:14.0
2/18/2026 18:51,IDLE,00:01.0
2/18/2026 18:51,CYCLESTART,00:18.0
2/18/2026 18:52,IDLE,00:05.0
2/18/2026 18:52,INCYCLE,00:01.0
2/18/2026 18:52,IDLE,00:03.0
2/18/2026 18:52,CYCLESTART,00:17.0
2/18/2026 18:52,IDLE,00:02.0
2/18/2026 18:52,CYCLESTART,01:10.5
2/18/2026 18:53,INCYCLE,00:36.0
2/18/2026 18:54,CYCLESTART,01:18.0
2/18/2026 18:55,IDLE,00:06.0
2/18/2026 18:55,INCYCLE,00:24.5
2/18/2026 18:56,CYCLESTART,00:09.0
2/18/2026 18:56,INCYCLE,00:16.0
2/18/2026 18:56,CYCLESTART,00:18.0
2/18/2026 18:56,INCYCLE,00:29.0
2/18/2026 18:57,CYCLESTART,00:02.0
2/18/2026 18:57,INCYCLE,00:02.0
2/18/2026 18:57,CYCLESTART,00:25.0
2/18/2026 18:57,INCYCLE,00:02.0
2/18/2026 18:57,CYCLESTART,00:07.0
2/18/2026 18:57,INCYCLE,00:01.0
2/18/2026 18:57,CYCLESTART,00:02.0
2/18/2026 18:58,INCYCLE,00:07.0
2/18/2026 18:58,CYCLESTART,00:51.5
2/18/2026 18:59,IDLE,00:01.0
2/18/2026 18:59,CYCLESTART,00:03.0
2/18/2026 18:59,IDLE,00:06.0
2/18/2026 18:59,CYCLESTART,00:01.0
2/18/2026 18:59,IDLE,00:02.0
2/18/2026 18:59,CYCLESTART,00:01.0
2/18/2026 18:59,IDLE,00:01.0
2/18/2026 18:59,CYCLESTART,00:12.0
2/18/2026 18:59,IDLE,00:03.0
2/18/2026 18:59,CYCLESTART,00:09.0
2/18/2026 18:59,IDLE,00:03.0
2/18/2026 18:59,CYCLESTART,00:04.0
2/18/2026 18:59,IDLE,00:02.0
2/18/2026 18:59,CYCLESTART,13:49.6
2/18/2026 19:13,INCYCLE,00:03.0
2/18/2026 19:13,CYCLESTART,00:01.0
2/18/2026 19:13,INCYCLE,00:03.0
2/18/2026 19:13,CYCLESTART,00:04.0
2/18/2026 19:13,INCYCLE,00:02.0
2/18/2026 19:13,CYCLESTART,04:13.7
2/18/2026 19:18,IDLE,00:01.0
2/18/2026 19:18,CYCLESTART,06:06.2
2/18/2026 19:24,INCYCLE,00:33.0
2/18/2026 19:24,CYCLESTART,00:03.0
2/18/2026 19:24,IDLE,05:15.1
2/18/2026 19:30,CYCLESTART,03:47.7
2/18/2026 20:33,INCYCLE,00:01.0
2/18/2026 20:33,CYCLESTART,00:02.0
2/18/2026 20:33,INCYCLE,00:04.0
2/18/2026 20:33,CYCLESTART,00:01.0
2/18/2026 20:33,INCYCLE,00:04.0
